K,rho,isTransient,order,time
25,0.9,True,1,0.13889694213867188
50,0.9,True,1,0.2769889831542969
75,0.9,True,1,0.841198205947876
100,0.9,True,1,2.1998291015625
150,0.9,True,1,4.044886112213135
200,0.9,True,1,9.699373245239258
25,0.9,False,1,0.043063879013061516
50,0.9,False,1,0.018627166748046875
75,0.9,False,1,0.03208613395690918
100,0.9,False,1,0.05601692199707031
150,0.9,False,1,0.2083268165588379
200,0.9,False,1,0.6529548168182373
250,0.9,False,1,1.2595741748809814
300,0.9,False,1,2.953275680541992
2,0.9,True,2,0.559600830078125
4,0.9,True,2,0.5845179557800293
6,0.9,True,2,0.7196459770202637
8,0.9,True,2,0.9888319969177246
10,0.9,True,2,1.5925772190093994
12,0.9,True,2,2.952220916748047
14,0.9,True,2,4.1560237407684335
16,0.9,True,2,6.916533946990968
18,0.9,True,2,12.234677076339722
5,0.9,False,2,0.08824706077575684
10,0.9,False,2,0.05264878273010254
15,0.9,False,2,0.18497085571289065
20,0.9,False,2,0.5243740081787109
25,0.9,False,2,1.4532911777496338
30,0.9,False,2,3.7716600894927983
35,0.9,False,2,8.107033252716063
40,0.9,False,2,17.8122718334198
25,0.9,True,1,0.14468002319335938
50,0.9,True,1,0.2795228958129883
75,0.9,True,1,0.7363657951354979
100,0.9,True,1,1.6790409088134766
150,0.9,True,1,4.293763160705566
200,0.9,True,1,9.519064188003538
25,0.9,False,1,0.040790796279907234
50,0.9,False,1,0.014636993408203125
75,0.9,False,1,0.02387714385986328
100,0.9,False,1,0.07187318801879883
150,0.9,False,1,0.2346291542053223
200,0.9,False,1,0.5579068660736084
250,0.9,False,1,1.1067466735839844
300,0.9,False,1,2.212519884109497
2,0.9,True,2,0.4876089096069336
4,0.9,True,2,0.5230033397674559
6,0.9,True,2,0.6281311511993408
8,0.9,True,2,0.9638357162475586
10,0.9,True,2,1.567583084106445
12,0.9,True,2,2.722292900085449
14,0.9,True,2,4.617815017700195
16,0.9,True,2,7.650799751281737
18,0.9,True,2,14.651922941207886
5,0.9,False,2,0.08908486366271973
10,0.9,False,2,0.052976131439208984
15,0.9,False,2,0.17750811576843262
20,0.9,False,2,0.5901350975036621
25,0.9,False,2,1.6190528869628906
30,0.9,False,2,4.652998208999634
35,0.9,False,2,8.786770820617676
40,0.9,False,2,21.53609395027161
25,0.9,True,1,0.14063787460327148
25,0.9,True,1,0.14241695404052734
25,0.9,True,1,0.12139391899108888
50,0.9,True,1,0.28464317321777344
50,0.9,True,1,0.3253300189971924
50,0.9,True,1,0.30444908142089844
75,0.9,True,1,0.7378489971160889
75,0.9,True,1,0.7730638980865479
75,0.9,True,1,0.6392662525177002
100,0.9,True,1,1.5904052257537842
100,0.9,True,1,1.7677509784698486
100,0.9,True,1,1.6969201564788818
150,0.9,True,1,5.093605041503906
150,0.9,True,1,4.708796977996826
150,0.9,True,1,4.380866050720215
200,0.9,True,1,10.253614187240599
200,0.9,True,1,10.715325832366943
200,0.9,True,1,10.546178817749023
25,0.9,False,1,0.03511977195739746
25,0.9,False,1,0.0031049251556396484
25,0.9,False,1,0.004234075546264648
50,0.9,False,1,0.013203859329223631
50,0.9,False,1,0.008152961730957031
50,0.9,False,1,0.008116006851196289
75,0.9,False,1,0.024576902389526367
75,0.9,False,1,0.01993703842163086
75,0.9,False,1,0.019176244735717773
100,0.9,False,1,0.058600187301635735
100,0.9,False,1,0.04303789138793945
100,0.9,False,1,0.04125809669494629
150,0.9,False,1,0.19559597969055176
150,0.9,False,1,0.17117810249328613
150,0.9,False,1,0.1636340618133545
200,0.9,False,1,0.5334351062774658
200,0.9,False,1,0.6156070232391357
200,0.9,False,1,0.549130916595459
250,0.9,False,1,1.528209924697876
250,0.9,False,1,1.0271520614624023
250,0.9,False,1,1.5642750263214111
300,0.9,False,1,2.128014087677002
300,0.9,False,1,2.1269998550415044
300,0.9,False,1,2.156141996383667
2,0.9,True,2,0.4362690448760986
2,0.9,True,2,0.4741370677947998
2,0.9,True,2,0.4872908592224121
4,0.9,True,2,0.5183360576629639
4,0.9,True,2,0.4974870681762695
4,0.9,True,2,0.5052280426025391
6,0.9,True,2,0.6136620044708252
6,0.9,True,2,0.6094157695770264
6,0.9,True,2,0.6152338981628418
8,0.9,True,2,0.941230058670044
8,0.9,True,2,0.9449429512023926
8,0.9,True,2,0.9662919044494628
10,0.9,True,2,1.5239317417144775
10,0.9,True,2,1.518110990524292
10,0.9,True,2,1.5172779560089111
12,0.9,True,2,2.8084087371826167
12,0.9,True,2,2.568572759628296
12,0.9,True,2,2.784271001815796
14,0.9,True,2,6.2561302185058585
14,0.9,True,2,4.457587003707887
14,0.9,True,2,4.528367042541504
16,0.9,True,2,8.097397089004518
16,0.9,True,2,8.354886054992676
16,0.9,True,2,8.989197015762327
18,0.9,True,2,14.246143102645874
18,0.9,True,2,13.256067991256714
18,0.9,True,2,12.899799585342407
5,0.9,False,2,0.11480498313903807
5,0.9,False,2,0.02798008918762207
5,0.9,False,2,0.02404212951660156
10,0.9,False,2,0.0511469841003418
10,0.9,False,2,0.03931379318237305
10,0.9,False,2,0.03886103630065918
15,0.9,False,2,0.1627368927001953
15,0.9,False,2,0.1630079746246338
15,0.9,False,2,0.1573171615600586
20,0.9,False,2,0.5315039157867432
20,0.9,False,2,0.5060110092163086
20,0.9,False,2,0.5036280155181885
25,0.9,False,2,1.6136491298675537
25,0.9,False,2,1.3975820541381836
25,0.9,False,2,1.4254891872406006
30,0.9,False,2,3.854584932327272
30,0.9,False,2,4.239825248718262
30,0.9,False,2,4.130880117416382
35,0.9,False,2,8.088669776916504
35,0.9,False,2,8.369165182113647
35,0.9,False,2,8.35204815864563
40,0.9,False,2,19.976253986358646
40,0.9,False,2,21.24281096458435
40,0.9,False,2,20.258113145828247
400,0.9,False,1,6.6803529262542725
400,0.9,False,1,6.2777180671691895
400,0.9,False,1,6.110409021377564
400,0.9,False,1,6.3600502014160165
400,0.9,False,1,6.50700306892395
500,0.9,False,1,16.855157136917114
500,0.9,False,1,17.399883031845093
500,0.9,False,1,16.38144612312317
500,0.9,False,1,18.04984402656555
500,0.9,False,1,14.789999008178713
25,0.9,True,1,0.12762904167175293
50,0.9,True,1,0.2686588764190674
75,0.9,True,1,0.7538518905639648
100,0.9,True,1,1.6094751358032227
150,0.9,True,1,4.203455924987793
200,0.9,True,1,9.828999042510986
25,0.9,False,1,0.031332969665527344
50,0.9,False,1,0.015084981918334961
75,0.9,False,1,0.025896072387695312
100,0.9,False,1,0.05779409408569336
150,0.9,False,1,0.24186277389526367
200,0.9,False,1,0.5398929119110107
250,0.9,False,1,1.0145940780639648
300,0.9,False,1,2.053307056427002
400,0.9,False,1,7.514312028884888
500,0.9,False,1,16.50551986694336
2,0.9,True,2,0.44663095474243164
4,0.9,True,2,0.4909207820892334
6,0.9,True,2,0.598870038986206
8,0.9,True,2,0.972275972366333
10,0.9,True,2,1.5304298400878906
12,0.9,True,2,2.344635009765625
14,0.9,True,2,4.162729263305664
16,0.9,True,2,6.884976148605347
18,0.9,True,2,11.453958988189697
5,0.9,False,2,0.11073470115661621
10,0.9,False,2,0.05548691749572754
15,0.9,False,2,0.1735219955444336
20,0.9,False,2,0.5259697437286377
25,0.9,False,2,1.4892597198486328
30,0.9,False,2,3.7632789611816406
35,0.9,False,2,8.014271259307861
40,0.9,False,2,19.472967386245728
